"profil","stanowisko","jednostka","wydzial","h_index_scopus","h_index_wos","sum_IF","sum_SNIP","sum_MEiN"
"Maria Licznar-Małańczuk","profesor uczelni","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",9,8,32.4,17.029,1387
"Marek Liszewski","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",5,5,29.475,10.99,1254
"Beata Łabaz","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",19,19,97.555,47.152,3297
"Agnieszka Łącka",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",1,2,0.914,0.783,182
"Joanna Magiera-Dulewicz",NA,"Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",3,3,23.321,6.709,607
"Elżbieta Magnucka","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",8,8,39.232,17.205,1049
"Agnieszka Maliszewska",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Klaudia Masztalerz","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",11,10,123.666,33.176,3056
"Krzysztof Matkowski","profesor uczelni","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",7,5,18.466,9.113,696
"Agnieszka Medyńska-Juraszek","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",21,19,105.957,39.181,3447
"Renata Mróz",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Mariusz Nejman",NA,"Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",2,2,17.022,6.05,434
"Bożena Nizio",NA,"Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",NA,NA,3,5,5
"Joanna Nowak",NA,"Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",NA,NA,3.9,1.213,140
