Paper,Link
Wartość nawozowa obornika drobiowego w świetle doświadczeń wazonowych,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:CHSYGLWDkRkC
Influence of some industrial plants on the sulphur content in soils and plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:4DMP91E08xMC
The influence of nitrogen fertilization applied on soils of different potassium and gnesium contents on the yield and chemical composition of maize and chemical soil properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:L8Ckcad2t8MC
Impact of phosphorite powder fertilizing with potassium chloride addition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:NaGl4SEjCO4C
"Chemical composition of plants cultivated in fields affected by the copperworks"" Legnica""",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:ns9cj8rnVeAC
Dzialanie nawozowe maczki fosforytowej z dodatkiem soli potasowej,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:e5wmG9Sq2KIC
Wplyw 20-letniego zroznicowanego nawozenia mineralnego na wlasciwosci gleby gliniastej. Cz. II,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:dhFuZR0502QC
WPŁYW ODDZIAŁYWANIA ZAKŁADÓW CHEMICZNYCH „WIZÓW” NA ZAWARTOŚĆ FLUORU W GLEBACH I ROŚLINACH IMPACT OF CHEMICAL COMPANY „WIZÓW” ON THE CONTENT OF FLUORINE IN SOIL AND PLANT,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:lSLTfruPkqcC
THE EFFECT OF FOLIAR APPLIED FERTILIZER EKOLIST ON THE YIELD AND CHEMICAL COMPOSITION OF SPRING WHEAT WPŁYW NAWOZÓW DOLISTNYCH EKOLIST NA PLON I SKŁAD CHEMICZNY PSZENICY JAREJ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:RYcK_YlVTxYC
WPŁYW ODDZIAŁYWANIA ZAKŁADÓW CHEMICZNYCH „WIZÓW” NA ZAWARTOŚĆ SIARKI W GLEBACH I ROŚLINACH THE INFLUENCE OF CHEMICAL COMPANY „WIZÓW” ON THE SULPHUR CONTENT IN SOIL AND PLANTS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:blknAaTinKkC
WPLYW NAWOZENIA SIARKA ELEMENTARNA NA PLON 1 SKLAD CHEMICZNY ROSLIN ORAZ WLASCIWOSCI CHEMICZNE GLEBY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:k_IJM867U9cC
Suitability Of Selected Soil Extraction Solutions for Available Zinc Content of the Soils from Lower Silesia Province in Poland,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:_Qo2XoVZTnwC
WPŁYW ZRÓŻNICOWANEGO NAWOŻENIA POTASEM I AZOTEM NA PLON ROŚLIN ORAZ WŁAŚCIWOŚCI GLEBY LEKKIEJ THE INFLUENCE OF DIFFERENT POTASSIUM AND NITROGEN FERTILIZATION ON THE PLANT YIELD,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:hFOr9nPyWt4C
WPŁYW RETARDANTóW NA WZROST ŹDŹBŁA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:aqlVkmm33-oC
ZAWARTOSC SIARKI OGOLNEJ I SIARCZANOWEJ W GLEBACH POLSKI POLUDNIOWO-ZACHODNIEJ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RNDE9-wAAAAJ&pagesize=100&citation_for_view=RNDE9-wAAAAJ:qxL8FJ1GzNcC
