profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Jacek Jachuła,,,,,0000-0001-8949-776X,57189363444,,,,,,,984.0,47.0,877,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/877?obiektId=Osoby,
Izabella Jackowska,,Profesor,,,0000-0001-8329-7767,6603653360,,,,,,,2471.0,214.0,19,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/19?obiektId=Osoby,
Anna Jagieła-Wochnik,,asystent,,,,,,,,,,,0.0,0.0,3403,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3403?obiektId=Osoby,
Dorota Jagiełło,,asystent,,,,,,,,,,,0.0,0.0,3563,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3563?obiektId=Osoby,
Andrzej Jakubczak,,Profesor,,,0000-0001-8320-8349,24464060200,,,,,,,2515.0,158.0,109,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/109?obiektId=Osoby,
Urszula Jakubczak,,starszy specjalista inżynieryjno-techniczny,,,,,,,,,,,0.0,0.0,2760,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2760?obiektId=Osoby,
Anna Jakubczyk,,Profesor uczelni,,,0000-0002-1087-2000,26432663600,,,,,,,4614.0,122.0,721,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/721?obiektId=Osoby,
Agnieszka Jakubiak,,specjalista,,,,,,,,,,,0.0,0.0,3551,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3551?obiektId=Osoby,
Monika Jamioł,,adiunkt posiadający st. nauk. dr,,,0000-0002-1984-6407,57156576300,,,,,,,2775.0,49.0,1560,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1560?obiektId=Osoby,
Agnieszka Jamiołkowska,,Profesor,,,0000-0003-4121-5318,38561319700,,,,,,,3337.0,196.0,540,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/540?obiektId=Osoby,
Piotr Janas,,adiunkt posiadający st. nauk. dr,,,,57212219451,,,,,,,267.0,53.0,269,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/269?obiektId=Osoby,
Jerzy Janczak,,starszy specjalista inżynieryjno-techniczny,,,,,,,,,,,0.0,0.0,3201,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3201?obiektId=Osoby,
Iwona Janczarek,,Profesor,,,0000-0001-9032-8840,7801459651,,,,,,,5198.0,257.0,192,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/192?obiektId=Osoby,
Ligia Janicka,,asystent,,,,,,,,,,,310.0,4.0,3047,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3047?obiektId=Osoby,
Kamila Janicka,,adiunkt posiadający st. nauk. dr,,,0000-0001-8891-5384,,,,,,,,725.0,52.0,3152,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3152?obiektId=Osoby,
Wiktoria Janicka,,adiunkt posiadający st. nauk. dr,,,0000-0001-5489-6189,,,,,,,,1195.0,61.0,3153,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3153?obiektId=Osoby,
Anna Janisz,,starszy specjalista inżynieryjno-techniczny,,,,,,,,,,,27.0,22.0,3104,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3104?obiektId=Osoby,
Małgorzata Janiuk,,starszy specjalista inżynieryjno-techniczny,,,,,,,,,,,28.0,18.0,169,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/169?obiektId=Osoby,
